 PRESS HGT(MSL) TEMP DEW PT  WND DIR  WND SPD
 HPA       M      C     C       DEG     M/S  
 E = Estimated Surface Height

  903.  1044.   12.7    4.0   182.5     2.2
  900.  1030.   19.0   -2.1   165.1     2.1
  850.  1516.   17.8   -6.7   143.0     1.8
  800.  2030.   15.5  -11.5    77.5     1.7
  750.  2574.   13.6  -17.6    50.0     5.1
  700.  3150.    9.7  -25.6    29.9     9.2
  650.  3759.    5.4  -32.5    30.0     9.6
  600.  4407.    1.2  -43.4    30.8     8.8
  550.  5100.   -3.6  -43.8    29.8     6.9
  500.  5844.   -9.3  -37.6    42.8     3.3
  450.  6648.  -15.7  -42.4    16.4     4.4
  400.  7522.  -23.6  -47.6    12.9     2.9
  350.  8481.  -32.0  -51.5   232.5     1.9
  300.  9548.  -40.6  -57.8   258.7     5.0
  250. 10770.  -47.8  -59.7   236.7    25.8
  200. 12221.  -54.1  -72.6   240.4    35.6
  150. 14030.  -62.3  -76.6   238.0    25.0
  100. 16481.  -69.9  -83.1   259.1    10.1
   50. 20716.  -58.6 -999.0   309.8     4.2
   20. 26590.  -52.2 -999.0   259.6     4.0
